[2025-09-15T07:35:24.672Z] DEBUG   | [vite] connecting...
[2025-09-15T07:35:25.133Z] DEBUG   | [vite] connected.
[2025-09-15T07:35:26.462Z] INFO    | %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2025-09-15T07:35:27.146Z] LOG     | Expanded Wake Up: 31 occurrences
[2025-09-15T07:35:27.152Z] LOG     | Expanded Wake Up: 31 occurrences
[2025-09-15T07:35:27.156Z] LOG     | Expanded Breakfast/Get Ready: 31 occurrences
[2025-09-15T07:35:27.161Z] LOG     | Expanded Breakfast/Get Ready: 31 occurrences
[2025-09-15T07:35:27.165Z] LOG     | Expanded Take Kids to School: 31 occurrences
[2025-09-15T07:35:27.173Z] LOG     | Expanded Take Kids to School: 31 occurrences
[2025-09-15T07:35:27.176Z] LOG     | Expanded Sleep: 31 occurrences
[2025-09-15T07:35:27.183Z] LOG     | Expanded Sleep: 31 occurrences
[2025-09-15T07:35:27.187Z] LOG     | Expanded Make Dinner: 31 occurrences
[2025-09-15T07:35:27.193Z] LOG     | Expanded Make Dinner: 31 occurrences
[2025-09-15T07:35:27.198Z] LOG     | Expanded Eat Dinner: 31 occurrences
[2025-09-15T07:35:27.206Z] LOG     | Expanded Eat Dinner: 31 occurrences
[2025-09-15T07:35:27.212Z] LOG     | Expanded Chore Time: 31 occurrences
[2025-09-15T07:35:27.221Z] LOG     | Expanded Chore Time: 31 occurrences
[2025-09-15T07:35:27.227Z] LOG     | Expanded Ryan Reading in Bed: 31 occurrences
[2025-09-15T07:35:27.248Z] LOG     | Expanded Ryan Reading in Bed: 31 occurrences
[2025-09-15T07:35:27.252Z] LOG     | Expanded Ryan TIME! TV and Snacks/Choice Time: 0 occurrences
[2025-09-15T07:35:27.255Z] LOG     | Expanded Ryan TIME! TV and Snacks/Choice Time: 0 occurrences
[2025-09-15T07:35:27.255Z] LOG     | Expanded Get In Bed! Reading: 0 occurrences
[2025-09-15T07:35:27.259Z] LOG     | Expanded Get In Bed! Reading: 0 occurrences
[2025-09-15T07:35:27.261Z] LOG     | Expanded Make Dinner: 31 occurrences
[2025-09-15T07:35:27.266Z] LOG     | Expanded Make Dinner: 31 occurrences
[2025-09-15T07:35:27.270Z] LOG     | Expanded Sleep: 31 occurrences
[2025-09-15T07:35:27.275Z] LOG     | Expanded Sleep: 31 occurrences
[2025-09-15T07:35:27.279Z] LOG     | Expanded Get Ready For Bed: 4 occurrences
[2025-09-15T07:35:27.280Z] LOG     | Calendar loaded: 314 total events (from 13 masters)
[2025-09-15T07:35:27.439Z] LOG     | Expanded Get Ready For Bed: 4 occurrences
[2025-09-15T07:35:27.440Z] LOG     | Calendar loaded: 314 total events (from 13 masters)
